"shop name";"shop url";"shop currency id"
RGK;http://www.rgk-tools.com/;RUR
"category id";"category name"
3;"Оптические нивелиры"
4;"Электронные теодолиты"
16;"Лазерные уровни"
17;Дальномеры
18;Склерометры
19;Аксессуары
58;Тепловизоры
59;Пирометры
69;"Угломеры и уклономеры"
78;"Компасы и буссоли"
79;"Строительные уровни"
80;Толщиномеры
83;Термогигрометры
93;Мультиметры
94;"Индикаторы напряжения"
95;"Токовые клещи"
96;"Кабельные тестеры"
97;Анемометры
98;Люксметры
99;Шумомеры
100;Тахометры
101;"Контактные термометры"
102;Мегаомметры
103;Видеоэндоскопы
106;"Ротационные уровни"
107;"Дорожные колеса"
108;"Рулетки измерительные"
109;Штативы
110;"Рейки нивелирные"
115;Штангенциркули
116;Микрометры
117;"Индикаторы часового типа"
"offer id";available;"offer name";"offer full_name";"offer type";"offer vendor";"offer url";"offer price";"offer picture";"offer param";"offer description";"offer instructions";"offer certificates";"offer category"
