Категория;Группа;Артикул;Модель;Цена;Ссылка
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933409200";"Ударная дрель PDE 13 RX ";"21990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"010150";"Дрель HDE 6 RQ";"18700";
"1_Электроинструмент";"01_Дрели и шуруповерты";"030250";"Дрель HDE 13 RQX";"27490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933380482";"Дрель B2E 16 RLD";"62490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478650";"Акк. гайковёрт M18FIW2F38-0X FUEL";"29490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478446";"Акк. гайковёрт M18FIW2P12-0X FUEL";"29990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478443";"Акк. гайковёрт M18FIW2F12-0X FUEL";"30990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478452";"Акк. гайковёрт M18FMTIW2P12-0X  FUEL";"36990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933479153";"Акк. гайковёрт M18 FMTIW2F38-0X";"37490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933479152";"Акк. гайковёрт M18 ONEFHIWH716-0X";"40990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478447";"Акк. гайковёрт M18FIW2P12-502X FUEL (Li-Ion 5 Ач)";"62490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478444";"Акк. гайковёрт M18FIW2F12-502X FUEL (Li-Ion 5 Ач)";"63990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478450";"Акк. гайковёрт M18FMTIW2F12-502X  FUEL (Li-Ion 5 Ач)";"70990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479100";"Резиновая манжета для M12FIR38 (1 шт.)";"2500";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478770";"Резиновый рукав для M18FIW2F+M18FIW2P ";"2750";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479102";"Резиновая манжета для M12FID (1 шт.)";"3000";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479098";"Резиновая манжета для M12FRAIWF38 + WF12 1 шт.";"3000";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478758";"Резиновый рукав для M12FIWF  ";"3100";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478771";"Резиновый рукав для M18FMTIW2F+M18FMTIW2P";"3250";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479103";"Резиновая манжета для M18FID2 + M18ONEID (1 шт.)";"3600";
"1_Электроинструмент";"01_Дрели и шуруповерты";"49162767";"Резиновый чехол для M18FHIWF12-502X";"4600";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478760";"Резиновый рукав для M18ONEFHIWF1";"7000";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479975";"Рукав резиновый для M18ONEFHIWF1";"6500";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933451636";"Акк. дрель на магнитной станине M18 FMDP-0C FUEL";"183990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479099";"Резиновая манжета для M12FHIR14 + R38 1 шт.";"2500";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479101";"Резиновая манжета для M12FIR12 (1 шт.)";"2500";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479097";"Резиновая манжета для M12FIR38LR (1 шт.)";"2500";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"49902342";"Принадлежности для M18/M28 для CDEX/CPDEX- Пылесборник, фильтр, крышка";"2000";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"49902340";"Принадлежности для M12 DE- Пылесборник, фильтр, крышка";"3100";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478499";"Акк. SDS-Plus перфоратор M18 FH-0";"40990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478500";"Акк. SDS-Plus перфоратор M18 FH-0X FUEL";"43990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478895";"Акк. SDS-Plus перфоратор M18 ONE FH-0";"44990";
