"uid","description"
"0x8d8f000e0c3ef59111da84171edc0783","Оборудование (банковское)"
"0x872f55f0ca09132c45de5957107b0bc8","Оборудование (вентиляционное)"
"0xb867a4455af294cc4673e150fa65410a","Оборудование (водоснабжение)"
"0xbfde0584824e4774474cceae92176b78","Оборудование (газовое и нефтегазовое)"
"0xad21c64da210a7314417eaaa3a551462","Оборудование (кафе/рестораны)"
"0x8341509bdc129003415c7eda105b9dcd","Промышленная химия (кроме кислот и щелочей)"
"0x9faa3c7f140b117c4052d12eda89d011","Техника с ДВС (кроме мотоциклов)"
"0xbc1dc60ddac5304d4a0f9b57e6810903","Медтовары (кроме оборудования)"
"0x83f1f9b1104b0fdf43391a8fcc27d532","Оборудование (лабораторное)"
"0x96e6008df97f7464466d30e5bd5d93b7","Автомобильные диски (литые)"
"0xb4d351b36e8275e74a87c530dac5c2b0","Автохимия (масла/жидкости)"
"0xb4455fdc2ff9e8724cc92465017e177e","Оборудование (медицинское)"
"0x8bf8023067ffd9ce44cd68f5c1b17a54","Оборудование (музыкальное)"
"0xa62d6c32b0f4d8e345e1543603b45ff3","Оптика (очки/линзы)"
"0xa0e74ccfd3d0ec9a4959d05dec927fae","Личные вещи (переезд)"
"0xbb346cae8b60617d11e7b8f6f546ddd8","Архив (почта)"
"0xa5c40f5bcfd84f904f3c1104d3b4ae2d","Оборудование (промышленное)"
"0xbe6d7f6ae8a2027546f63fdd5636ee71","Обогревательные приборы (радиаторы, камины, тепловые пушки)"
"0x82e6000423b423b711da7d380306db8a","РТИ (резинотехнические изделия)"
"0xaf9299b54d782cf944eeee7a2849d5ac","Оборудование (сельскохозяйственное)"
"0x945e8b206d8f99f64477a4c66f0ce85f","Оборудование (складское)"
"0x948ca0928d7d9b4d4718dd08a54f7b3d","СИЗ (Средства индив.защиты)"
"0x8e4e3e21a4ea756d4afcd226c0d9e31c","Оборудование (строительное)"
"0x88f8401d408adc8f4d903f8acae9430d","Галантерея (сумки, кошельки, бижутерия)"
"0xa4a904cf9927043442973c854c077430","ТНП (товары народного потребления)"
"0x82e6000423b423b711da7f960eb4cfe8","Оборудование (торговое)"
"0xa10b00112fd49c4311da826ac7ab9622","Автозапчасти хрупкие (фары, лампы, пластмасса и т.п.)"
"0x9ad79ec7e04cdf864b1d60f6fa3e0d6a","Оборудование (холодильное)"
"0x86f5acdb4fdf9a804fbc8c133da1bfdd","Колеса в сборе (шины+диски)"
"0x82e6000423b423b711da7deadb6c22e7","Автомобильные диски (штамповка)"
"0xb32b10f88f33deae4b3f1e3d13c68d84","Оборудование (электро)"
"0x8d8f000e0c3ef59111da835a4bf7c443","Фототовары / фототехника"
"0x8e31a4b0ce09c2f247a344014fbeda80","Аварийно-спасательные средства"
"0xb762e98cc53c33ac4fa761f7f8087cf7","Автокресла"
"0xad4dc7813515ea9345ec41586a820fac","Аксессуары для автомобилей"
"0xa43554e206b2742047f1b4b93394a6b9","Автомобильный кузов"
"0xabcb75c5808333af4c1f389abc27d071","Автостекла"
"0x82e6000423b423b711da7ebaf1da395a","Аксессуары"
"0xb29c74e8d31e28bb481e8d3383f0b9f0","Алкогольная продукция"
"0xa19b24fd4b3c1b344281aec88d7087a8","БАДы"
"0xb1dc7c4adc8b646a4749e6701b648e40","Чай, кофе и бакалея"
"0xadbcf162c8af44d14a692b3b17d46f79","Бамперы"
"0xac54bac7b8f1496e4d66f734d807315e","Буклеты"
