"id","uid","name"
"1","0xA191584309B83A6A4B5C253D4D6EC797","доставка груза до дверей получателя"
"2","0xb5f2210776280bce4df4998c113fe714","страхование груза и срока"
"2","0xA99306894DF2154D44ADC6A129BD525C","страхование груза"
"3","0xBF2A1858DC7FCB874B5DF9F3FD886660","погрузка у отправителя"
"4","0xBB330FED46957FA64CE10239165E4C7B","разгрузка у получателя"
"6","0xA6A7BD2BF950E67F4B2CF7CC3A97C111","деревянная обрешётка"
"7","0xAE2EEA993230333043E719D4965D5D31","дополнительная упаковка"
"8","0x947845D9BDC69EFA49630D8C080C4FBE","упаковка мешок"
"9","0xA0A820F33B2F93FE44C8058B65C77D0F","палетный борт"
"10","0xA11455A5C9BE0000477AB88A272A295B","отправка сопроводительных документов"
"11","0xAD28BADA70021EBC41765FC1EC28AFE8","возврат сопроводительных документов"
"13","","заезд на второй адрес"
"17","0xB5FF5BC18E642C354556B93D7FBCDE2F","воздушно-пузырьковая пленка"
"18","0x82750921BC8128924D74F982DD961379","картонная коробка"
"19","0xB26E3AE60BF5FB6646363AFC69A10819","жесткий короб"
"20","0xad97901b0ecef0f211e889fcf4624fed","Спец. упаковка для автостекол"
"21","0xad97901b0ecef0f211e889fcf4624fea","Спец. упаковка для автозапчастей"
"22","0xad97901b0ecef0f211e889fcf4624feb","Комплекс «палетный борт + амортизация»"
"23","0xad97901b0ecef0f211e889fcf4624fec","Комплекс «обрешётка + амортизация»"
"33","0xB1DA8F1EC1B774EC45152FC5643AA598","забор груза от дверей отправителя"
