Категория;Группа;Артикул;Модель;Цена;Ссылка
1_Электроинструмент;03_Шлифмашины;4933471435;"Акк. цанговая прямошлифмашина M12FDGS-0 FUEL";17990;pryamoshlifovalnye-mashiny
"1_Электроинструмент";03_Шлифмашины;4933471436;"Акк. цанговая прямошлифмашина M12FDGS-422B FUEL";30990;pryamoshlifovalnye-mashiny
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933471461;"Акк. система пылеудаления M12 UDE-201X";30490;sbor-pyli-i-shlama
"1_Электроинструмент";04_Пылесосы и воздуходувки;4933472214;"Акк. воздуходувка M12BBL-0";10990;vozduhoduvki
"1_Электроинструмент";05_Пилы;4933479241;"Акк. труборез по нержавеющей стали M12PCSS-0";21990;silovoy-instrument
"1_Электроинструмент";05_Пилы;4933479242;"Акк. труборез по нержавеющей стали M12PCSS-202C";31490;silovoy-instrument
"1_Электроинструмент";05_Пилы;4933441700;"Акк. лобзик M12 JS-402B (Li-Ion4Ач)";35490;lobziki
"1_Электроинструмент";07_Мультитулы;4933441705;"Акк. мультиинструмент C12 MT-402B (Li-Ion4ач)";26490;multiinstrument
"1_Электроинструмент";09_Приборы освещения;4933478226;"Акк. фонарь с шарнирным световым блоком M12 PAL-0";9990;fonari
"1_Электроинструмент";09_Приборы освещения;4933478868;"Акк. подрамный фонарь M12 UCL-0";20490;fonari
"1_Электроинструмент";09_Приборы освещения;4933459432;"Акк. фонарь M12 UHL-0 (для подкапотного пространства)";17490;fonari
"1_Электроинструмент";22_Лазеры;4933478103;"Акк. мультилинейный лазерный нивелир M12 3PL-0C";61990;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4933478102;"Акк. мультилинейный лазерный нивелир M12 3PL-401C (Li-Ion 4 Ач)";69490;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4933478101;"Акк. линейно-точечный лазерный нивелир M12 CLLP-0C";46990;izmeritelnyy-instrument
"1_Электроинструмент";22_Лазеры;4933478100;"Акк. линейно-точечный лазерный нивелир M12 CLLP-301C (Li-Ion 3 Ач)";52990;izmeritelnyy-instrument
"1_Электроинструмент";26_Звук и связь;4933472114;"Акк. радио DAD+/зарядное устройство M12 RCDAB+";21990;radio
"1_Электроинструмент";39_Инструменты высокой мощности;4933427275;"Акк. расширитель для труб C12PXP-I06202C";48990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933441730;"Акк. расширитель для труб C12PXP-I10202C";48990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933472018;"Акк. расширитель для труб M12FPXP-0C";29490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933472021;"Акк. расширитель для труб M12FPXP-I06202C";57990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933472020;"Акк. расширитель для труб M12FPXP-I10202C";57990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478247;"Акк. гидравлический инструмент для обжима M12HPT-0C";146490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933443085;"Акк. пресс-инструмент M12 HPT-202C (Li-Ion2Ач)";168990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933443095;"Акк. пресс-инструмент M12 HPT-202C M-KIT (Li-Ion2Ач)";233990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933443100;"Акк. пресс-инструмент M12 HPT-202C V-KIT (Li-Ion2Ач)";233990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933443105;"Акк. пресс-инструмент M12 HPT-202C TH-KIT (Li-Ion2Ач)";233990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933443110;"Акк. пресс-инструмент M12 HPT-202C U-KIT (Li-Ion2Ач)";233990;silovoy-instrument
"1_Электроинструмент";61_Диагностика и инспекция;4933471995;"Акк. локатор M12 PL-0C";322490;izmeritelnyy-instrument
"1_Электроинструмент";61_Диагностика и инспекция;4933478615;"Акк. локатор M12 PL-201C";326990;izmeritelnyy-instrument
"1_Электроинструмент";80_Прочие инструменты;4933478228;"Акк. вентилятор M12AF-0";12990;drugoe
"1_Электроинструмент";01_Дрели и шуруповерты;4933478443;"Акк. гайковёрт M18FIW2F12-0X FUEL";24990;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933478444;"Акк. гайковёрт M18FIW2F12-502X FUEL (Li-Ion 5 Ач)";50990;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933478650;"Акк. гайковёрт M18FIW2F38-0X FUEL";23490;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933478446;"Акк. гайковёрт M18FIW2P12-0X FUEL";23990;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933478447;"Акк. гайковёрт M18FIW2P12-502X FUEL (Li-Ion 5 Ач)";49990;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933478450;"Акк. гайковёрт M18FMTIW2F12-502X  FUEL (Li-Ion 5 Ач)";56490;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933479153;"Акк. гайковёрт M18 FMTIW2F38-0X";29990;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933478452;"Акк. гайковёрт M18FMTIW2P12-0X  FUEL";29490;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933479152;"Акк. гайковёрт M18 ONEFHIWH716-0X";32490;gaykoverty
"1_Электроинструмент";01_Дрели и шуруповерты;4933451636;"Акк. дрель на магнитной станине M18 FMDP-0C FUEL";146990;sverlilnye
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478499;"Акк. SDS-Plus перфоратор M18 FH-0";32490;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478500;"Акк. SDS-Plus перфоратор M18 FH-0X FUEL";34990;perforatory
"1_Электроинструмент";02_Перфораторы и отбойные молотки;4933478887;"Акк. SDS-Plus перфоратор M18 FHX-0";37990;perforatory
