Категория;Группа;Артикул;Модель;Цена;Ссылка
"1_Электроинструмент";"03_Шлифмашины";"4933471435";"M12FDGS-0 F. STRAIGHT DIE GRINDER -0 XXX";"17990";
"1_Электроинструмент";"03_Шлифмашины";"4933471436";"M12FDGS-422B F. STR. DIE GRINDER-KIT IN2";"30990";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933471461";"M12UDEL-201B GEN 2 UNIV. DUST EXTR.-IN2";"30490";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933472214";"M12BBL-0 M12 BLOWER XXX";"10990";
"1_Электроинструмент";"05_Пилы";"4933479241";"M12 Pipe Cutter Stainless Steel ";"21990";
"1_Электроинструмент";"05_Пилы";"4933479242";"M12 Pipe Cutter Stainless Steel ";"31490";
"1_Электроинструмент";"05_Пилы";"4933441700";"M12JS402B     BATTERY JIG SAW       IN2";"35490";
"1_Электроинструмент";"07_Мультитулы";"4933441705";"C12MT402B 230V    MULTITOOL 12V     IN2";"26490";
"1_Электроинструмент";"09_Приборы освещения";"4933478226";"M12PAL-0 M12 PIVOT AREA LIGHT XXX";"9990";
"1_Электроинструмент";"09_Приборы освещения";"4933478868";"M12 Under Carriage Light EMEA version";"20490";
"1_Электроинструмент";"09_Приборы освещения";"4933459432";"M12UHL0 AREA LIGHT XXX";"17490";
"1_Электроинструмент";"22_Лазеры";"4933478103";"M123PL-0C M12 3 PLANE LASER XXX";"61990";
"1_Электроинструмент";"22_Лазеры";"4933478102";"M123PL-401C M12 3 PLANE LASER IN2";"69490";
"1_Электроинструмент";"22_Лазеры";"4933478101";"M12CLLP-0C M12 CROSS LINE/2P. LASER XXX";"46990";
"1_Электроинструмент";"22_Лазеры";"4933478100";"M12CLLP-301C M12 CROSS LINE/2P.LASER IN2";"52990";
"1_Электроинструмент";"26_Звук и связь";"4933472114";"M12RCDAB+0 M12 RADIO IN2";"21990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933427275";"C12PXPI06202C   BTY. EXPANDER    IN2";"48990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933441730";"C12PXPI10202C   BTY.EXPANDER        IN2";"48990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933472018";"M12FPXP-0C PEX EXPANDER 0 VERSION XXX";"29490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933472021";"M12FPXP-I06202C EXPANDOR IN2";"57990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933472020";"M12FPXP-I10202C PEX EXPAND 10BAR KIT IN2";"57990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478247";"M12HPT-0C M12 PRESSTOOL 0-VERSION XXX";"146490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933443085";"M12HPT202C PRESS  TOOL    KIT IN2";"168990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933443095";"M12HPT202C PRESS  TOOL    M   IN2";"233990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933443100";"M12HPT202C PRESS  TOOL    V   IN2";"233990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933443105";"M12HPT202C PRESS  TOOL    TH  IN2";"233990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933443110";"M12HPT202C PRESS  TOOL    U   IN2";"233990";
"1_Электроинструмент";"61_Диагностика и инспекция";"4933471995";"M12PL-0C M12 PLUMBING LOCATOR 0 BOX XXX";"322490";
"1_Электроинструмент";"61_Диагностика и инспекция";"4933478615";"M12PL-201C PLUMBING LOCATOR 0 IN BOX XXX";"326990";
"1_Электроинструмент";"80_Прочие инструменты";"4933478228";"M12AF-0 AIR FAN IN2";"12990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478443";"M18FIW2F12-0X COMPACT IMPACT WRENCH XXX";"24990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478444";"M18FIW2F12-502X COMP. IMPACT WRENCH IN2";"50990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478650";"M18FIW2F38-0X BASEL. COMPACT WRENCH XXX";"23490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478446";"M18FIW2P12-0X COMPACT IMPACT WRENCH XXX";"23990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478447";"M18FIW2P12-502X COMP. IMPACT WRENCH IN2";"49990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478450";"M18FMTIW2F12-502X MID IMPACT WRENCH IN2";"56490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933479153";"M18 Fuel Mid Torque Impact Wrench 3/8&quot; Friction Ring";"29990";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933478452";"M18FMTIW2P12-0X MID IMPACT WRENCH XXX";"29490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933479152";"M18 Fuel High Torque Impact Wrench Hex 7/16 with One-Key ";"32490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4933451636";"M18FMDP0C BTY. MAGNETIC DRILL STAND XXX";"146990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478499";"M18 FUEL SDS-plus 26mm Hammer - 
Bare Version
Carton Box";"32490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478500";"M18 FUEL SDS-plus 26mm Hammer - Bare Version
BMC";"34990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478887";"M18 FUEL SDS-plus 26mm Hammer FIXTEC - 
Bare Version
Carton Box";"37990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478888";"M18 FUEL SDS-plus 26mm Hammer FIXTEC- 
Bare Version
HD Box";"40490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478889";"M18 FUEL SDS-plus 26mm Hammer FIXTEC - 5.5 Ah Kit Version
HD Box - IN2";"76490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478895";"M18 FUEL SDS-plus 26mm ONE-KEY Hammer - 
Bare Version
Carton Box";"35990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478886";"M18 FUEL SDS-plus 26mm ONE-KEY Hammer - 
Bare Version
HD Box";"37990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478884";"M18 FUEL SDS-plus 30mm ONE-KEY Hammer - Bare Version
HD Box";"48990";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478498";"M18 FUEL SDS-plus 28mm Hammer FIXTEC - 6.0 Ah Kit Version
incl. DDE
Blow Molded Case";"112490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478885";"M18 FUEL SDS-plus 30mm ONE-KEY Hammer FIXTEC - Bare Version
Carton Box";"52490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478495";"M18ONEFHPX-0C SDS+ 28MM HAMMER FIXT XXX";"54490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478496";"M18 FUEL SDS-plus 28mm Hammer FIXTEC - 5.5 Ah Kit Version
BMC";"90490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478506";"M18 FUEL SDS-plus 26mm Hammer FIXTEC - 6.0 Ah Kit Version
incl. DDE
Blow Molded Case";"101490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478502";"M18 FUEL SDS-plus 26mm ONE-KEY Hammer FIXTEC - Bare Version
Carton Box";"41490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478503";"M18ONEFHX-0C SDS+26MM HAMMER FIXT XXX";"43490";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4933478504";"M18 FUEL SDS-plus 26mm Hammer FIXTEC - 5.5 Ah Kit Version
BMC";"79490";
"1_Электроинструмент";"03_Шлифмашины";"4933478772";"M18FSAG115X-0 FUEL ANGLE GRINDER XXX";"19490";
"1_Электроинструмент";"03_Шлифмашины";"4933478438";"M18FSAGF125XB-0X ANG.GRINDER XXX";"29490";
"1_Электроинструмент";"03_Шлифмашины";"4933478439";"M18FSAGF125XPDB-0X ANG.GRINDER XXX";"32490";
"1_Электроинструмент";"03_Шлифмашины";"4933478774";"M18FSAGV115XPDB-0 FUEL ANGLE GRINDER XXX";"25990";
"1_Электроинструмент";"03_Шлифмашины";"4933478773";"M18FSAGV115XPDB-0X FUEL A.GRIND XXX";"28490";
"1_Электроинструмент";"03_Шлифмашины";"4933478781";"M18ONEFLAG230XPDB-0 M18 FUEL A.GRIND XXX";"43490";
"1_Электроинструмент";"03_Шлифмашины";"4933478782";"M18ONEFLAG230XPDB-0C FUEL A.GRIND XXX";"44490";
"1_Электроинструмент";"03_Шлифмашины";"4933478783";"M18ONEFLAG230XPDB-121C FUEL A.GRIND IN2";"68490";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933478185";"M18FCVL-0 M18 Fuel Stick Vac XXX";"31490";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933478186";"M12FVCL-0 M12 FUEL WET DRY VACUUM XXX";"18490";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933478187";"M18FPOVCL-0 PACKOUT WET DRY VACUUM XXX";"26990";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933478507";"M18 COMPACT Dedicated Dust Extraction for FHX- SDS-plus";"17490";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933478509";"M18FDDEXL-0 DED.DUST EXTR. FHX SDS+ XXX";"22990";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4933478508";"M18FPDDEXL-0 DED.DUST EXTR.FHPX SDS+ XXX";"22990";
"1_Электроинструмент";"05_Нарезание резьбы и канавок";"4933478596";"M18FPT2-0C FUEL PIPE THREADER 2IN XXX";"125490";
"1_Электроинструмент";"05_Нарезание резьбы и канавок";"4933478597";"M18FPT2-121C M18 PIPE THREADER 2IN IN2";"148990";
"1_Электроинструмент";"05_Пилы";"4933472163";"M18FCSG66-0 FUEL CIRCULAR SAW XXX";"53990";
"1_Электроинструмент";"05_Пилы";"4933471195";"M18FCSG66-121C FUEL CIRCULAR SAW IN2";"78990";
