јртикул;÷ена;—сылка
"4933479872";"26438.5";""
"4933479867";"27588.5";""
"4933479873";"41388.5";""
"4933479868";"42538.5";""
"4933479874";"50588.5";""
"4933479869";"51738.5";""
"4933479875";"52888.5";""
"4933479870";"54038.5";""
"030250";"31613.5";""
"4933479876";"26438.5";""
"4933479877";"41388.5";""
"4933479153";"43113.5";""
"4932479977";"2760";""
"4932479102";"3450";""
"4932479103";"4140";""
"4933478446";"34488.5";""
"4933478443";"35638.5";""
"4933479152";"47138.5";""
"4933478447";"71863.5";""
"4933478444";"73588.5";""
"4932478770";"3162.5";""
"4932479098";"3450";""
"4932478758";"3565";""
"4932478771";"3737.5";""
"49162767";"5290";""
"4932478760";"8050";""
"4932479975";"7475";""
"4932479100";"2875";""
"4932479099";"2875";""
"4932479101";"2875";""
"4932479097";"2875";""
"49902342";"2300";""
"49902340";"3565";""
"4933478499";"47138.5";""
"4933478500";"50588.5";""
"4933478895";"51738.5";""
"4933478887";"54613.5";""
"4933478886";"54613.5";""
"4933478888";"58638.5";""
"4933478502";"59788.5";""
"4933478503";"62663.5";""
"4933478884";"70138.5";""
"4933478885";"75888.5";""
"4933478495";"78188.5";""
"4933478889";"110388.5";""
"4933478504";"114413.5";""
"4933478496";"129938.5";""
"4933478506";"146038.5";""
"4933478498";"162138.5";""
"4933479426";"39088.5";""
"4933478891";"50588.5";""
"4933478894";"79913.5";""
"4933479903";"31613.5";""
"4932378478";"143.75";""
"4933478772";"28163.5";""
"4933478774";"37363.5";""
"4933478773";"41388.5";""
"4933478781";"62663.5";""
"4933478782";"64388.5";""
"4933478783";"98888.5";""
"4933478834";"57488.5";""
"4933478836";"58638.5";""
"4933478835";"94288.5";""
"4933478837";"95438.5";""
"4933492352";"101188.5";""
"4932479964";"2300";""
"4932479965";"2300";""
"4932478759";"1874.5";""
"4932478762";"1874.5";""
"4932478814";"2760";""
"4932478754";"2875";""
"4932478802";"2875";""
"4932459689";"6440";""
"4933472214";"15755";""
"4933478507";"25288.5";""
"4933478509";"33338.5";""
"4933478508";"33338.5";""
"4932479461";"17940";""
"4932479620";"7015";""
"4932478965";"17940";""
"4933480220";"159838.5";""
"4933479420";"221938.5";""
"4933479421";"262188.5";""
"4932480227";"5750";""
"4932480228";"5750";""
"4932480229";"6095";""
"4932480230";"6095";""
"4932480231";"6670";""
"4932480232";"6670";""
"4932480233";"9775";""
"4932480234";"9775";""
"4932480235";"12075";""
"4932480236";"12075";""
"4932480237";"13800";""
"4932480238";"13800";""
"4932480245";"16675";""
"4932480246";"17250";""
"4932480247";"18975";""
"4932480248";"19550";""
"4932480239";"23000";""
"4932480240";"23575";""
"4932480241";"24150";""
"4932480242";"27025";""
"4932480243";"29325";""
"4932480244";"29325";""
"4932480250";"73715";""
"4932480249";"137770";""
"48361107";"13225";""
"48361108";"13225";""
"48361109";"16675";""
"48361110";"16675";""
"48361111";"21045";""
"48361112";"21045";""
"4932478839";"24495";""
"4932478838";"24495";""
"4932478840";"24495";""
"4933478777";"86238.5";""
"4933478778";"133388.5";""
"4932479072";"2760";""
"4932479070";"3450";""
"4932479068";"6440";""
"4932479069";"7245";""
"4932479071";"8050";""
"4932479065";"14950";""
"4932479066";"17940";""
"4932479067";"36800";""
"4932480906";"50370";""
"4932478816";"61410";""
"4933479241";"31613.5";""
"4932479243";"4140";""
"4933472110";"89113.5";""
"4933472111";"123038.5";""
"4933471496";"52888.5";""
"4933479617";"50588.5";""
